event_id,indicator,release_date,actual,consensus,surprise,surprise_pct,regime,ff_rate,yc_10y2y,hy_spread,vix,cuts_implied,sp500_t0,sp500_t1,sp500_t5,sp500_t10,sp500_t20,ret_t1,ret_t5,ret_t10,ret_t20,forecast_source,data_source,analysis,updated_at
ISM_MFG_20250204,ISM Manufacturing PMI,2025-02-04,50.9,49.3,1.6,3.2454,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250304,ISM Manufacturing PMI,2025-03-04,50.3,50.6,-0.3,-0.5929,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250401,ISM Manufacturing PMI,2025-04-01,49.0,49.5,-0.5,-1.0101,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250501,ISM Manufacturing PMI,2025-05-01,48.7,48.0,0.7,1.4583,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250602,ISM Manufacturing PMI,2025-06-02,48.5,49.3,-0.8,-1.6227,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250701,ISM Manufacturing PMI,2025-07-01,49.0,48.8,0.2,0.4098,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250801,ISM Manufacturing PMI,2025-08-01,48.0,49.5,-1.5,-3.0303,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20250902,ISM Manufacturing PMI,2025-09-02,48.7,49.0,-0.3,-0.6122,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20251001,ISM Manufacturing PMI,2025-10-01,49.1,49.0,0.1,0.2041,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20251104,ISM Manufacturing PMI,2025-11-04,48.7,49.4,-0.7,-1.417,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20251202,ISM Manufacturing PMI,2025-12-02,48.2,49.0,-0.8,-1.6327,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20260106,ISM Manufacturing PMI,2026-01-06,47.9,48.3,-0.4,-0.8282,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20260203,ISM Manufacturing PMI,2026-02-03,52.6,48.5,4.1,8.4536,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
ISM_MFG_20260303,ISM Manufacturing PMI,2026-03-03,52.4,51.7,0.7,1.354,,,,,,,,,,,,,,,,manual,investing.com,,2026-03-13 31:31:40
